Atributo,metric,mean,sd
X,mean_squared_error,0.07522453967357237,0.0014158380491913975
Y,mean_squared_error,0.07374532265667987,0.0015587946350271362
X,r2,-0.0002739619954875039,0.00019239180280199132
Y,r2,-0.000570431565201579,0.00027694516308841854
