Atributo,metric,mean,sd
petal_length,mean_squared_error,0.0030332293518373662,0.00118432434454031
petal_width,mean_squared_error,0.006610644698787785,0.0020659972195227164
sepal_length,mean_squared_error,0.007740083025171634,0.0024015260591481436
sepal_width,mean_squared_error,0.0164641891606727,0.005222348752547799
petal_length,r2,0.9601156689097883,0.019385571722616665
petal_width,r2,0.9268076830433298,0.0240857949899163
sepal_length,r2,0.8338480868932034,0.0712464726111184
sepal_width,r2,0.45709204285638405,0.13913850519417872
